Date,ABEV3,BBSE3,B3SA3,BRML3,BRPR3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,YDUQ3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,POMO4,MRFG3,MRVE3,MULT3,NATU3,OIBR4,PCAR4,PETR3,PETR4,QUAL3,RAIL3,SBSP3,SANB11,CSNA3,SMLE3,CRUZ3,VIVT4,TIMS3,EGIE3,UGPA3,USIM5,VALE3,VALE5
2015-02-27,14.735954284667969,18.593830108642575,2.4885413646698,9.97804832458496,4.2587738037109375,10.620718955993652,11.169,6.160585880279541,15.201931953430176,7.531661987304687,62.30507659912109,12.625622749328612,4.793138027191162,14.466,31.5,13.557,18.23098373413086,2.025,5.41033411026001,12.253145217895508,8.190119743347168,5.201507091522217,8.648974418640137,4.254697799682617,5.26,23.995954513549805,5.822438716888428,14.58213996887207,30.610919952392575,119.1714096069336,7.740962028503418,7.808194637298584,10.050000190734863,15.1497802734375,4.695395469665527,14.73615837097168,9.811819076538086,12.16055679321289,9.176399230957031,9.438458442687988,5.59,12.089011192321776,1.8182756900787356,3.620643615722656,4.009594440460205,15.532304763793944,13.13,5.949999809265137,93.86,5.000844955444336,4.809748649597168,16.059099197387695,,13.81114101409912,8.840062141418457,3.863687753677368,39.59,24.33,38.808,9.598557472229004,15.99760627746582,26.160860061645508,3.4901790618896484,13.423693656921388,16.87
2015-03-02,14.638896942138672,18.848224639892575,2.3823816776275635,9.75248908996582,4.221741199493408,10.393170356750488,11.018,5.931029319763184,15.169883728027344,7.384558200836182,61.79255294799805,12.156042098999023,4.63435173034668,14.745,31.36,13.304,17.83953285217285,2.004,5.356784820556641,12.154330253601074,8.147683143615723,5.235772132873535,8.756363868713379,4.06383228302002,4.885,24.63199615478516,5.602479934692383,13.822574615478516,30.87537956237793,116.61773681640624,7.481405258178711,7.458052635192871,9.65999984741211,15.09420394897461,4.655782699584961,14.669517517089844,10.033374786376951,12.56128215789795,9.087308883666992,9.35216236114502,5.701,12.275903701782228,1.867197871208191,3.590720891952514,4.181602954864502,15.10235595703125,12.75,5.980000019073486,93.72,4.895342826843262,4.74427604675293,15.934121131896973,,13.468716621398926,8.534153938293457,3.863687753677368,39.15,24.11,38.883,9.719243049621582,15.62880039215088,25.94098472595215,3.5070807933807373,12.987817764282228,16.33
2015-03-03,14.90579319000244,18.940731048583984,2.431758403778076,9.918689727783203,4.221741199493408,10.415159225463867,11.032,6.062204837799072,15.144250869750977,7.160961627960205,62.27606964111328,11.9364013671875,4.5235700607299805,14.39,31.59,13.031,18.104581832885746,1.978,5.299411773681641,12.088457107543944,8.140610694885254,5.482484817504883,8.582887649536133,4.103595733642578,4.877,24.67053985595703,5.563663482666016,13.484158515930176,31.296859741210938,118.3201904296875,7.641719341278076,7.717158317565918,9.640000343322754,15.237125396728516,4.665103435516357,14.782615661621094,9.851380348205566,12.753939628601074,8.953670501708984,9.271263122558594,5.643,12.234211921691896,1.785660982131958,3.500953197479248,4.199397563934326,15.216248512268066,12.22,6.400000095367432,94.0,5.016672134399414,4.819821834564209,16.121580123901367,,13.525787353515623,8.659011840820312,3.886107206344605,39.27,24.56,38.357,9.614648818969728,15.777281761169434,26.442302703857425,3.625391960144043,13.133108139038086,16.47
2015-03-04,14.808743476867676,18.362564086914062,2.4515089988708496,9.894947052001951,4.25507116317749,10.324097633361816,10.793,5.987247467041016,14.381591796875,7.208035469055176,60.63213348388672,11.504691123962402,4.409096717834473,14.297,31.23,12.856,17.83953285217285,1.915,5.177014350891113,11.798591613769531,8.133536338806152,5.646958827972412,8.2441987991333,4.016116142272949,4.681,24.71872901916504,5.531317710876465,12.739632606506348,32.420806884765625,118.3201904296875,7.985256195068359,8.039291381835938,9.550000190734863,15.30064582824707,4.627819538116455,14.653363227844238,9.90676975250244,13.19320297241211,8.802215576171875,9.125638961791992,5.479,11.984065055847168,1.7122780084609983,3.328897714614868,3.9740071296691895,15.176386833190918,11.91,6.429999828338623,93.04,4.826765537261963,4.668729782104492,16.109085083007812,,13.191516876220703,8.77138614654541,3.9159998893737793,39.35,24.38,37.165,9.502008438110352,15.470743179321287,25.897010803222656,3.7521543502807617,12.880426406860352,16.09
2015-03-05,14.849183082580566,18.223804473876957,2.379913568496704,9.651581764221191,4.177301406860352,10.244413375854492,10.786,5.715524673461914,14.445683479309082,7.537545204162598,61.58948516845703,11.724332809448242,4.542033672332764,14.407,31.25,12.506,17.933317184448242,1.887,5.154065608978272,11.785417556762695,8.31035327911377,5.413953304290772,8.169853210449219,4.055880069732666,4.698,23.61048126220703,5.473093509674072,12.859960556030272,31.68528175354004,114.06407165527344,8.076864242553711,8.235369682312012,9.359999656677246,15.284762382507324,4.60917854309082,14.52411937713623,10.12041473388672,13.293383598327637,8.686399459838867,9.168787956237791,5.454,11.860429763793944,1.7448922395706177,3.328897714614868,3.914691925048828,14.80907917022705,11.79,6.590000152587891,93.33,4.85841703414917,4.653621673583984,15.67792797088623,,13.248584747314451,8.83381462097168,3.781481742858887,39.8,24.7,37.25,9.64682960510254,15.806021690368652,25.86035919189453,3.7606048583984375,12.318209648132324,15.44
2015-03-06,14.744040489196776,17.605165481567383,2.3873207569122314,9.24201202392578,4.181005001068115,10.113512992858888,10.649,5.6967854499816895,14.099599838256836,7.761141777038574,61.222015380859375,11.398656845092772,4.56419038772583,14.39,30.48,12.584,17.925167083740234,1.929,5.102428436279297,11.818358421325684,8.23255443572998,5.359128475189209,8.004637718200684,4.008163928985596,4.783,24.3139762878418,5.50544023513794,12.468896865844728,33.007564544677734,112.3616180419922,8.191375732421875,8.312403678894043,9.119999885559082,15.1497802734375,4.511308193206787,14.136374473571776,10.34197235107422,13.570812225341797,8.891307830810547,9.184969902038574,5.471,11.896368026733398,1.7530455589294434,3.224168539047241,4.051115036010742,14.74928092956543,11.86,6.28000020980835,93.38,4.795114517211914,4.658657073974609,15.440475463867188,,13.273046493530272,8.746415138244629,3.759061813354492,39.85,24.45,36.752,9.292818069458008,15.600064277648926,25.73653793334961,3.735252857208252,12.3750638961792,15.58
2015-03-09,14.752132415771484,17.258270263671875,2.372507333755493,8.933351516723633,4.103235721588135,9.985462188720703,10.348,5.584350109100342,13.548432350158691,8.143608093261719,61.30904769897461,10.6715669631958,4.305700778961182,13.908,28.14,12.34,17.78652572631836,1.858,5.048880577087402,11.627317428588867,7.970865249633789,5.311156749725342,7.484213352203369,3.9922590255737305,4.749,24.57417106628418,5.350174903869629,12.25080394744873,31.94147491455078,111.5103988647461,8.397494316101074,8.403438568115234,8.800000190734863,14.887757301330566,4.394798278808594,13.768828392028809,10.413186073303224,13.879064559936523,8.650762557983398,9.071706771850586,5.405,11.759799003601074,1.6959705352783203,2.999748468399048,3.9502816200256343,13.99758243560791,11.88,6.21999979019165,93.49,4.636860370635986,4.492456436157227,14.8156099319458,,13.191516876220703,8.615310668945312,3.871160745620728,38.85,24.27,36.236,9.308910369873049,15.43242359161377,25.29432678222656,3.8366620540618896,12.343478202819824,15.56
2015-03-10,14.315390586853027,17.316082000732422,2.347819566726685,9.105487823486328,4.240257263183594,9.77488136291504,10.007,5.4531731605529785,13.63175106048584,8.090651512145996,60.361366271972656,11.07298183441162,4.350013256072998,13.874,27.99,12.34,18.19021224975586,1.889,5.045055389404297,11.488972663879396,7.716251850128174,5.413953304290772,7.682469367980957,3.936589479446411,4.809,23.91886138916016,5.563663482666016,12.047752380371094,31.743133544921875,102.9981460571289,8.321152687072754,8.158336639404297,8.630000114440918,15.038619995117188,4.287608623504639,13.227604866027832,10.745522499084473,13.640169143676758,8.205304145812988,8.869455337524414,5.311,11.590153694152832,1.647047758102417,3.2615714073181152,4.098565101623535,14.32218074798584,11.72,6.190000057220459,93.33,4.388928413391113,4.291001319885254,14.87184715270996,,13.289349555969238,8.384323120117188,3.863687753677368,40.39,24.27,35.936,9.292818069458008,15.255207061767578,25.09975814819336,3.8366620540618896,12.065529823303224,15.1
2015-03-11,14.671252250671388,17.657201766967773,2.404601812362671,9.164847373962402,4.166191577911377,9.974077224731444,10.308,5.457858085632324,13.849654197692873,6.490173816680908,60.23565673828125,11.133572578430176,4.375863075256348,14.068,27.59,12.953,18.31254005432129,1.87,5.090954303741455,11.752481460571287,7.928430080413818,5.3933939933776855,7.682469367980957,3.8968255519866943,4.843,24.285064697265625,5.621888637542725,12.002629280090332,32.5612907409668,102.1469268798828,8.313518524169922,8.305399894714355,9.34000015258789,15.165656089782717,4.4320807456970215,13.675932884216309,10.365711212158203,13.8636474609375,8.534941673278809,9.106764793395996,5.426,11.817300796508787,1.6878167390823364,3.1493616104125977,4.140085220336914,14.82901096343994,11.82,6.110000133514404,93.77,4.468056201934815,4.40180253982544,14.903093338012695,,13.118138313293455,8.490452766418457,3.901053905487061,40.88,24.48,36.077,9.4054594039917,15.552167892456056,25.413726806640625,3.912719488143921,11.913921356201172,14.88
2015-03-12,14.590371131896973,17.246702194213867,2.3774452209472656,9.24201202392578,4.173598289489746,9.746421813964844,10.129,5.392270088195801,14.035512924194336,6.090053558349609,60.50642013549805,11.16386604309082,4.486642360687256,14.187,27.77,12.827,18.06380271911621,1.952,5.043142795562744,12.03575038909912,8.098176002502441,5.44821834564209,7.682469367980957,3.904778242111206,4.868,24.09232711791992,5.693051338195801,11.98006820678711,32.850547790527344,102.1469268798828,8.275347709655762,8.200355529785156,8.699999809265137,15.054497718811035,4.450722217559815,13.732479095458984,10.152067184448242,13.60934352874756,8.98930835723877,8.988110542297363,5.438,12.005627632141112,1.8916587829589844,3.1269195079803467,4.098565101623535,14.666708946228027,11.86,6.190000057220459,94.0,4.367826461791992,4.265818595886231,14.890591621398926,,13.860058784484863,8.3031644821167,4.159679412841797,40.43,24.31,36.659,9.389369010925291,15.719812393188477,25.91342544555664,3.929620265960693,11.913921356201172,14.85
2015-03-13,14.671252250671388,17.06747055053711,2.3823816776275635,9.087679862976074,4.240257263183594,9.6354398727417,9.993,5.331367015838623,13.695838928222656,6.443101406097412,60.3033447265625,10.641270637512209,4.338935852050781,14.162,27.03,12.71,17.937395095825195,1.886,4.8939714431762695,11.824947357177734,8.168901443481445,5.455071449279785,7.459429740905762,3.976352691650391,4.953,23.928497314453125,5.628358840942383,11.859740257263184,34.37943649291992,108.10549926757812,8.275347709655762,8.214364051818848,8.34000015258789,14.990979194641112,4.418100357055664,13.66381549835205,10.128328323364258,14.171903610229492,9.185307502746582,8.947660446166992,5.249,11.846051216125488,1.8753516674041748,3.1119580268859863,4.110426902770996,14.26523494720459,11.5,6.25,91.78,4.299249649047852,4.20034646987915,14.521920204162598,,13.99866008758545,8.396807670593262,4.268531799316406,40.3,24.48,37.109,9.534192085266112,15.820387840270996,25.648099899291992,4.1070876121521,11.926552772521973,15.02
2015-03-16,14.558022499084473,17.402809143066406,2.461384057998657,9.147039413452148,4.192114353179932,9.703737258911133,10.157,5.326682090759277,13.695838928222656,6.48429012298584,60.0422477722168,11.23203182220459,4.25769567489624,14.145,27.42,12.798,18.41214179992676,1.909,4.9398698806762695,11.923760414123535,8.218408584594727,5.407101154327393,7.665947914123535,3.9524950981140137,4.919,24.04414367675781,5.900071144104004,11.513799667358398,32.85881042480469,103.84937286376952,8.206643104553223,8.067301750183105,8.180000305175781,15.09420394897461,4.4320807456970215,13.66381549835205,10.112502098083496,13.640169143676758,8.944762229919434,9.025864601135254,5.146,11.88199234008789,1.8182756900787356,3.059593439102173,4.17567253112793,14.90873908996582,11.62,6.570000171661377,90.92,4.352001190185547,4.225527286529541,14.87184715270996,,13.860058784484863,8.37183666229248,4.338507175445557,40.82,24.12,37.428,9.502008438110352,15.806021690368652,26.134525299072266,4.132439136505127,11.93918800354004,14.97
2015-03-17,14.695515632629396,18.23536872863769,2.649012565612793,9.58628749847412,4.28469705581665,10.13058853149414,10.547,5.574979782104492,14.388007164001465,6.531362056732178,60.82553482055664,11.534987449645996,4.372169017791748,14.432,28.23,12.691,18.78326797485352,1.95,5.066092014312744,12.154330253601074,8.38107967376709,5.516749858856201,7.946813106536865,4.055880069732666,5.081,24.034486770629883,5.88713264465332,11.942465782165527,34.34638214111328,104.70059967041016,8.52169132232666,8.391402244567871,8.279999732971191,15.173601150512695,4.539270877838135,14.05558967590332,10.33405876159668,13.70952320098877,9.363492012023926,9.195755958557127,5.294,12.104827880859377,1.8345831632614136,3.141880750656128,4.3180251121521,15.14791488647461,12.06,6.46999979019165,92.2,4.594659805297852,4.462238311767578,15.390485763549805,,14.09649658203125,8.708955764770508,4.548433780670166,40.82,24.46,38.686,9.630741119384766,16.117353439331055,26.47060775756836,4.309906482696533,12.558257102966309,15.67
2015-03-18,14.90579319000244,18.88869285583496,2.7773895263671875,10.09676456451416,4.436531066894531,10.639960289001465,10.964,5.434433937072754,15.407020568847656,6.843221187591553,61.84090805053711,12.095453262329102,4.457101345062256,14.483,29.09,13.07,19.443050384521484,1.993,5.35487174987793,12.582534790039062,8.663985252380371,5.660665512084961,7.599862575531006,4.230839729309082,5.26,24.35301780700684,6.236479759216309,12.58922290802002,33.82572937011719,110.65917205810548,8.75989818572998,8.659141540527344,8.350000381469727,15.46739101409912,4.716368675231934,14.479686737060549,10.531878471374512,13.293383598327637,9.906949996948242,9.500483512878418,5.438,12.306095123291016,1.8753516674041748,3.403704643249512,4.484102725982666,15.631963729858398,12.1,6.730000019073486,93.38,4.795114517211914,4.633475303649902,15.527958869934082,,14.414462089538574,9.083536148071287,4.431806564331055,39.94,24.86,39.127,9.888203620910645,16.380788803100586,27.19140625,4.284554481506348,12.3750638961792,15.29
2015-03-19,14.962408065795898,18.9176025390625,2.735419511795044,9.598158836364746,4.406905174255371,10.446457862854004,10.765,5.279834270477295,14.721267700195312,6.931482315063477,61.86024475097656,11.739481925964355,4.375863075256348,14.398,29.38,12.525,19.146150588989254,1.967,5.236300468444824,12.220208168029783,8.854947090148926,5.653812408447266,7.492473125457764,4.238791942596436,5.285,24.681201934814453,6.178255558013916,11.927424430847168,34.933143615722656,109.80794525146484,8.575480461120605,8.51117992401123,8.3100004196167,15.4038667678833,4.721027851104736,14.39083194732666,11.014555931091309,13.455214500427246,9.20312786102295,9.438458442687988,5.348,12.213878631591797,1.8345831632614136,3.239129543304444,4.448514938354492,15.566475868225098,12.08,6.400000095367432,92.17,4.584108829498291,4.492456436157227,15.328001022338867,,14.561216354370115,8.971160888671875,4.315182209014893,39.98,24.75,37.259,9.542235374450684,16.45262908935547,27.147180557250977,4.3437089920043945,12.09711456298828,15.12
2015-03-20,15.09990406036377,18.90604019165039,2.809483528137207,10.09676456451416,4.425421714782715,10.574515342712402,10.936,5.584350109100342,15.342933654785156,7.12565803527832,61.64750289916992,12.284798622131348,4.619581699371338,15.05,28.73,12.71,19.19151306152344,2.04,5.339573383331299,12.654998779296877,9.335886001586914,5.708636283874512,7.822902202606201,4.41375207901001,5.66,24.73911476135254,6.52760124206543,13.386392593383787,34.00754928588867,110.65917205810548,8.483270645141602,8.560500144958496,8.800000190734863,15.57855224609375,4.702385902404785,14.512001991271973,11.149073600769045,13.588117599487305,9.318946838378906,9.438458442687988,5.524,12.460201263427734,1.8101218938827517,3.276532888412476,4.667975425720215,15.691760063171388,12.49,6.440000057220459,95.55,4.832041263580322,4.643548488616943,15.509209632873535,,15.572185516357422,9.027348518371582,4.5717597007751465,40.65,24.7,36.302,9.059494018554688,17.003446578979492,27.425779342651367,4.293005466461182,12.791988372802734,15.83
2015-03-23,15.237399101257324,18.96385955810547,2.769983053207397,10.203609466552734,4.666134834289551,10.548900604248049,10.923,5.621828079223633,15.35574722290039,7.337484836578369,60.9222412109375,12.572604179382324,4.800523281097412,14.652,28.82,12.992,18.948219299316406,2.034,5.335748672485352,12.984382629394531,9.350032806396484,5.701784133911133,7.740295886993408,4.556900024414063,5.839,24.1020565032959,6.521130561828613,13.574399948120115,33.13979721069336,114.06407165527344,8.529376983642578,8.532317161560059,9.25,15.61825180053711,4.697725296020508,14.419100761413574,11.236113548278809,13.471782684326172,9.621854782104492,9.497790336608888,5.524,12.368006706237791,1.8508903980255127,3.2166876792907715,4.650181770324707,15.745858192443848,12.29,6.289999961853027,94.57,4.863691806793213,4.698949337005615,16.027851104736328,,15.816774368286133,8.977404594421387,4.610635280609131,39.38,24.93,36.039,9.18017864227295,17.051345825195312,27.416933059692383,4.225399017333984,12.87410831451416,15.78
