Date,Open,Adj Close
2012-03-14,2.843751907348633,2.3948655128479004
2012-03-15,2.843751907348633,2.3948655128479004
2012-03-16,2.843751907348633,2.3948655128479004
2012-03-19,2.843751907348633,2.3948655128479004
2012-03-20,2.843751907348633,2.3948655128479004
2012-03-21,2.843751907348633,2.3948655128479004
2012-03-22,2.843751907348633,2.3948655128479004
2012-03-23,2.843751907348633,2.3948655128479004
2012-03-26,2.843751907348633,2.3948655128479004
2012-03-27,2.843751907348633,2.3948655128479004
2012-03-28,2.843751907348633,2.3948655128479004
2012-03-29,2.843751907348633,2.3948655128479004
2012-03-30,2.843751907348633,2.3948655128479004
2012-04-02,2.843751907348633,2.3948655128479004
2012-04-03,2.843751907348633,2.3948655128479004
2012-04-04,2.843751907348633,2.3948655128479004
2012-04-05,2.843751907348633,2.3948655128479004
2012-04-09,2.843751907348633,2.3948655128479004
2012-04-10,2.843751907348633,2.3948655128479004
2012-04-11,2.843751907348633,2.3948655128479004
2012-04-12,2.843751907348633,2.3948655128479004
2012-04-13,2.843751907348633,2.3948655128479004
2012-04-16,2.843751907348633,2.3948655128479004
2012-04-17,2.843751907348633,2.3948655128479004
2012-04-18,2.843751907348633,2.3948655128479004
2012-04-19,2.843751907348633,2.3948655128479004
2012-04-20,2.843751907348633,2.3948655128479004
2012-04-23,2.843751907348633,2.3948655128479004
2012-04-24,2.843751907348633,2.3948655128479004
2012-04-25,2.843751907348633,2.3948655128479004
2012-04-26,2.843751907348633,2.3948655128479004
2012-04-27,2.843751907348633,2.3948655128479004
2012-04-30,2.843751907348633,2.3948655128479004
2012-05-02,2.843751907348633,2.3948655128479004
2012-05-03,2.843751907348633,2.3948655128479004
2012-05-04,2.843751907348633,2.3948655128479004
2012-05-07,2.843751907348633,2.3948655128479004
2012-05-08,2.843751907348633,2.3948655128479004
2012-05-09,2.843751907348633,2.3948655128479004
2012-05-10,2.843751907348633,2.3948655128479004
2012-05-11,2.843751907348633,2.3948655128479004
2012-05-14,2.843751907348633,2.3948655128479004
2012-05-15,2.843751907348633,2.3948655128479004
2012-05-16,2.843751907348633,2.3948655128479004
2012-05-17,2.843751907348633,2.3948655128479004
2012-05-18,2.843751907348633,2.3948655128479004
2012-05-21,2.843751907348633,2.3948655128479004
2012-05-22,2.843751907348633,2.3948655128479004
2012-05-23,2.843751907348633,2.3948655128479004
2012-05-24,2.843751907348633,2.3948655128479004
